timestamp,price,close,open,high,low,volume,daily_return,log_return,weekly_return,monthly_return,ma_7,ma_14,ma_30,ma_50,ma_200,ma_20,ema_12,ema_26,volatility_7,volatility_14,volatility_30,annualized_volatility,price_volatility_7,price_volatility_30,bb_upper,bb_lower,bb_width,price_to_ma_7,price_to_ma_30,macd,macd_signal,macd_histogram,rsi,volume_ma_7,volume_ratio,daily_range,range_to_close,close_lag_1,close_lag_7,volume_lag_1
2024-06-13 00:00:00,68224.51967501991,68224.51967501991,68224.51967501991,68224.51967501991,68224.51967501991,,,,,,,,,,,,68224.51967501991,68224.51967501991,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,
2024-06-14 00:00:00,66700.31696564378,66700.31696564378,66700.31696564378,66700.31696564378,66700.31696564378,,-0.02234098116976857,-0.022594321243216586,,,,,,,,,67398.90987410783,67433.10672976692,,,,,,,,,,,,-34.196855659087305,-18.99825314393739,-15.198602515149915,,,,0.0,0.0,68224.51967501991,,
2024-06-15 00:00:00,66011.07873713733,66011.07873713733,66011.07873713733,66011.07873713733,66011.07873713733,,-0.010333357618997008,-0.010387117425723019,,,,,,,,,66857.23906083297,66922.18587879256,,,,,,,,,,,,-64.94681795958604,-37.82963216674421,-27.11718579284183,,,,0.0,0.0,66700.31696564378,,
2024-06-16 00:00:00,66190.4874891135,66190.4874891135,66190.4874891135,66190.4874891135,66190.4874891135,,0.0027178582051445854,0.002714171506970797,,,,,,,,,66646.77164659911,66717.63498395031,,,,,,,,,,,,-70.86333735119842,-49.01991170077341,-21.84342565042501,,,,0.0,0.0,66011.07873713733,,
2024-06-17 00:00:00,66615.53782131766,66615.53782131766,66615.53782131766,66615.53782131766,66615.53782131766,,0.006421622627784229,0.0064010918562341255,,,,,,,,,66638.2855278991,66693.95823082596,,,,,,,,,,,,-55.67270292685134,-50.998966682353,-4.673736244498343,,,,0.0,0.0,66190.4874891135,,
2024-06-18 00:00:00,66460.38897909952,66460.38897909952,66460.38897909952,66460.38897909952,66460.38897909952,,-0.0023290188339287754,-0.0023317352167839976,,,,,,,,,66595.04730743814,66647.17617258667,,,,,,,,,,,,-52.12886514852289,-51.3052319878245,-0.8236331606983924,,,,0.0,0.0,66615.53782131766,,
2024-06-19 00:00:00,65109.314812190474,65109.314812190474,65109.314812190474,65109.314812190474,65109.314812190474,,-0.02032901383309582,-0.020538492088034183,,,66473.09206850317,,,,,,66263.51129930497,66373.67550170216,,,,,939.2188285318429,,,,,0.9794837698401743,,-110.16420239719446,-66.2008671839892,-43.963335213205255,,,,0.0,0.0,66460.38897909952,,
2024-06-20 00:00:00,64907.07460760319,64907.07460760319,64907.07460760319,64907.07460760319,64907.07460760319,,-0.0031061639209482017,-0.0031109980611167573,-0.0486254074520277,,65999.1713445865,,,,,,65980.44386864951,66137.3697577481,0.011072966753321568,,,,719.4324274828434,,,,,0.9834528719871133,,-156.92588909859478,-88.00379603448417,-68.92209306411061,,,,0.0,0.0,65109.314812190474,68224.51967501991,
2024-06-21 00:00:00,64844.67441797763,64844.67441797763,64844.67441797763,64844.67441797763,64844.67441797763,,-0.0009613773229312228,-0.0009618397425066311,-0.02782059564457484,,65734.07955206276,,,,,,65755.74824589398,65945.76392993472,0.008881735664035249,,,,758.8193097020913,,,,,0.9864696495311736,,-190.0156840407435,-111.56904824751615,-78.44663579322736,,,,0.0,0.0,64907.07460760319,66700.31696564378,
2024-06-22 00:00:00,64071.624284709695,64071.624284709695,64071.624284709695,64071.624284709695,64071.624284709695,,-0.011921567040108605,-0.011993198798203578,-0.02938074168050997,,65457.014630287376,,,,,,65436.6074097749,65687.1508993099,0.00908870529006793,,,,966.4811293148124,,,,,0.978835112578803,,-250.5434895349972,-142.70739055115715,-107.83609898384006,,,,0.0,0.0,64844.67441797763,66011.07873713733,
